,Date Filed,City,State,Address,Status,Case Name,Labor Union,Tally Date,Ballot Type,Votes For Union,Votes Against,Num Eligible Voters,Case,lon,lat
153,14-Mar-22,Miami Springs,FL,"52 Curtiss Pkwy., Miami Springs, Florida",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board a/w Service Employees International Union",10-May-22,Initial,10,3,17,12-RC-292183,-80.2813245,25.8218113
149,4-Apr-22,Pittsburgh,PA,"4840 McKnight Road, Pittsburgh, Pennsylvania",Voted Failed,Starbucks Corporation,Workers United a/w SEIU,31-May-22,Initial,6,11,24,06-RC-293424,-80.00611,40.5279734
172,23-Mar-22,Pittsburgh,PA,"7 Market Square, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United,26-May-22,Initial,8,1,23,06-RC-292760,-80.0021785,40.4402122
44,4-Apr-22,Pittsburgh,PA,"1400 East Carson Street, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United a/w SEIU,31-May-22,Initial,6,4,19,06-RC-293429,-79.98404,40.428731
133,4-Mar-22,Pittsburgh,PA,"4022 Fifth Avenue, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United,6-May-22,Initial,10,3,44,06-RC-291724,-79.955667,40.4436122
136,23-Mar-22,Pittsburgh,PA,"425 Craig Street, Pittsburgh, Pennsylvania",Open,Starbucks Corporation,Workers United,28-Jun-22,Initial,9,8,27,06-RC-292767,-79.9484784,40.4446084
146,11-Feb-22,Pittsburgh,PA,"4765 Liberty Avenue, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,WORKERS UNITED SOUTHWEST REGIONAL JOINT BOARD,13-Apr-22,Initial,20,0,22,06-RC-290464,-79.9474487,40.4612774
161,19-Apr-22,Pittsburgh,PA,"5932 Penn Circle South, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United a/w SEIU,16-Jun-22,Initial,10,0,15,06-RC-294253,-79.9275721,40.4590263
120,14-Apr-22,Pittsburgh,PA,"3464 William Penn Highway, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United a/w SEIU,16-Jun-22,Initial,15,6,36,06-RC-294100,-79.8103574,40.4294808
90,16-May-22,Greensburg,PA,"2540 Greengate Center Circle, Greensburg, PA",Unionized,Starbucks Corporation,"International Brotherhood of Teamsters, Local Union No. 30",21-Jun-22,Initial,21,6,31,06-RC-295875,-79.5830165,40.3060531
10,15-Apr-22,Durham,NC,"1119 Slater Road, Durham, NC",Voted Failed,Starbucks Corporation,"Workers United, Southern Regional Joint Board",26-May-22,Initial,9,19,32,10-RC-294066,-78.8473009,35.8793613
113,10-Nov-21,Amherst,NY,"3186 Sheridan Drive, Amherst, NY",Unionized,Starbucks Corporation,Workers United,9-Mar-22,Initial,15,12,44,03-RC-285986,-78.8153237,42.9806623
66,9-Nov-21,Cheektowaga,NY,"1775 Walden Avenue, Cheektowaga, NY",Open,Starbucks Corporation,Workers United,22-Apr-22,Revised,10,10,39,03-RC-285929,-78.7707777,42.9084282
147,10-Nov-21,Depew,NY,"4770 Transit Road, Depew, New York",Unionized,Starbucks Corporation,Workers United,9-Mar-22,Initial,15,12,37,03-RC-285989,-78.6975719,42.868562
99,15-Feb-22,Raleigh,NC,"2901 Sherman Oak Place, Raleigh, North Carolina",Open,Starbucks Corporation,SEIU Workers United Southern Region,3-May-22,Initial,5,7,12,10-RC-290674,-78.6227839,35.8213418
51,14-Feb-22,Midlothian,VA,"15605 WC Commons Way, Midlothian, Virginia",Unionized,Starbucks Corporation,Workers United a/w SEIU,19-Apr-22,Initial,13,8,31,05-RC-290518,-77.6945222,37.5135936
42,1-Feb-22,Rochester,NY,"1394 Mount Hope Avenue, Rochester, New York",Open,Starbucks Corporation,Workers United,7-Apr-22,Initial,13,11,41,03-RC-289801,-77.6180251,43.1228484
79,14-Feb-22,Richmond,VA,"2059 Huguenot Road, North Chesterfield, Virginia",Unionized,Starbucks Corporation,Workers United,19-Apr-22,Initial,11,2,28,05-RC-290510,-77.6121954,37.5213806
13,2-May-22,Glen Allen,VA,"11332 Nuckols Road, Glen Allen, Virginia",Voted Failed,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",10-Jun-22,Initial,7,20,31,05-RC-295021,-77.5886048,37.6826282
154,14-Mar-22,Leesburg,VA,"526 East Market Street, Leesburg, Virginia",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",23-May-22,Initial,24,1,30,05-RC-292280,-77.552102,39.1091868
94,1-Feb-22,Rochester,NY,"2750 Monroe Avenue, Rochester, New York",Unionized,Starbucks Corporation,Workers United,7-Apr-22,Initial,10,3,30,03-RC-289802,-77.5498285,43.1129784
171,20-Jan-22,Richmond,VA,"6980 Forest Hill Avenue, Richmond, Virginia",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",19-Apr-22,Initial,17,1,23,05-RC-289213,-77.5236625,37.5382002
54,23-Feb-22,Richmond,VA,"1601 Willow Lawn Drive, 700-P, Richmond, Virginia",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",19-Apr-22,Initial,19,0,28,05-RC-291103,-77.49744,37.582542
179,23-Feb-22,Springfield,VA,"7475 Huntsman Boulevard, Springfield, Virginia",Voted Failed,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",14-Apr-22,Initial,8,10,22,05-RC-291121,-77.2651088,38.7527782
59,8-Mar-22,Linthicum Heights,MD,"1700 W. Nursery Road in Linthicum Heights, Maryland",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",10-May-22,Initial,15,2,23,05-RC-291899,-76.6831667,39.19961
